Title,Summary,Date,Source URL,Article URL,Document_Type,Product_Type,Countries,Regions,Drug_names,Language,Source_File,title_english,summary_english,Detail_URL,Source_URL,Article_URL
AGES Podcast: Of blood meals & tick bites,The 2025 tick season started in March with the first findings of the bloodsuckers. What diseases can ticks transmit? How can you best protect yourself against them? Our expert Mateusz Markowicz…,02/04/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/ages/presse/podcast/detail/folge-004-von-blutmahlzeiten-zeckenstichen-wie-schuetze-ich-mich-vor-kleinen-vampiren,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
AGES clarifies listeria outbreak,"The Federal Ministry of Social Affairs, Health, Care and Consumer Protection (BMSGPK) has commissioned AGES to investigate an outbreak of foodborne illness caused by listeria.",10/01/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/ages-klaert-listerien-ausbruch-ab,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
AGES Podcast Episode 002 - Food pyramid,Saving health and the planet - through nutrition? Nutrition expert Lisa Sturm introduces us to the risk of malnutrition and overeating.,01/02/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/ages/presse/podcast/detail/folge-002-ernaehrungspyramide-gesundheit-und-planeten-retten-durch-ernaehrung,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Be careful with products that contain fungal toxins,"Once again, people had to be hospitalised because they had consumed products containing psychoactive mushroom poisons - a dangerous trend that can lead to serious health problems.",05/02/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/vorsicht-bei-produkten-die-pilzgifte-enthalten,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Insects in food,Insects are classed as novel foods in the EU. They may only be used in food after a complex authorisation procedure.,13/02/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/insekten-in-lebensmitteln,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
Respiratory infections and how to protect yourself from them,Our video shows how respiratory infections occur and how you can protect yourself against them,19/02/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/atemwegsinfektionen-und-wie-man-sich-davor-schuetzen-kann,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
2024 tick study: 20 % carriers of Borrelia bacteria,"One in five ticks in Austria could transmit borrelia to humans. This is the first result of our tick study, which was launched a year ago.",17/03/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/zeckenstudie-2024-20-traeger-von-borrelien,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
AGES and MedUni Vienna strengthen co-operation,Co-operation agreement signed for joint research and development work.,18/03/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/ages-und-meduni-wien-verstaerken-zusammenarbeit,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
22 March is World Water Day,"Last year, we analysed over 12,000 drinking water samples from all over Austria: For possible contamination, e.g. by faecal bacteria, but also for the content of chemical components and pollutants.",21/03/2025,https://www.ages.at/en/ages/press/news?actct=Human&tx_news_pi1%5Baction%5D=aList&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=2&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=53,https://www.ages.at/en/news/detail/22-maerz-ist-weltwassertag-1-1,Other Type,Other,Global,Global,None,English,AT.xlsx,None,None,None,None,None
PrEP-medicijn via halfjaarlijkse injectie Yeytuo krijgt positief advies,Yeytuo (lenacapavir) mag een handelsvergunning krijgen om de kans op infectie met het hivV-virus type 1 (hiv-1) te verminderen   ...,25/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/25/prep-medicijn-via-halfjaarlijkse-injectie-yeytuo-krijgt-positief-advies,Recommendation,Drug Product,None,None,prep,Dutch,CBGnews_items.xlsx,PrEP drug through half-yearly injection YEYTUO gets positive advice,Yeytuo (Lenacapavir) may receive a trading permit to reduce the risk of infection with the HIVV virus type 1 (HIV-1) ...,None,None,None
Nieuwe behandeling voor zeldzame ziekte NPC krijgt positief advies,Het medicijn Aqneursa (levacetylleucine) mag op de markt komen voor de behandeling van patiënten van 6 jaar en ouder met de   ...,25/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/25/nieuwe-behandeling-voor-zeldzame-ziekte-npc-krijgt-positief-advies,Recommendation,Other,European Union,None,None,Dutch,CBGnews_items.xlsx,New treatment for rare disease NPC receives positive advice,The Aqneursa drug (Levacetylleucine) may come on the market for the treatment of patients aged 6 years and older with the ...,None,None,None
Medicijnen met 10 meest gebruikte werkzame stoffen grotendeels in Europa geproduceerd,Recent onderzoek naar de productieketen van medicijnen met de 10 meest gebruikte werkzame stoffen in Nederland laat zien dat deze   ...,24/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/24/medicijnen-met-10-meest-gebruikte-werkzame-stoffen-grotendeels-in-europa-geproduceerd,Other Type,Other,"Netherlands, European Union",Western Europe,None,Dutch,CBGnews_items.xlsx,Medicines with 10 most used active substances largely produced in Europe,Recent research into the production chain of medicines with the 10 most used active substances in the Netherlands shows that this ...,None,None,None
Bureau Diergeneesmiddelen publiceert nieuw kwartaaloverzicht van bedrijven in grondstoffenregister,"Per 1 juli 2025 plaatst het Bureau Diergeneesmiddelen (BD) kwartaaloverzichten van fabrikanten, importeurs en/of distributeurs   ...",14/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/14/bureau-diergeneesmiddelen-publiceert-nieuw-kwartaaloverzicht-van-bedrijven-in-grondstoffenregister,Other Type,Other,None,None,None,Dutch,CBGnews_items.xlsx,Veterinary Medicines Bureau publishes new quarterly overview of companies in Raw Materials Register,"As of July 1, 2025, the Bureau Veterinary Medicines (BD) will place quarterly overviews of manufacturers, importers and/or distributors ...",None,None,None
Moment waarop nieuwe slots beschikbaar komen in planningstool gewijzigd,"Het moment waarop nieuwe slots beschikbaar komen in de planningstool, waarmee firma’s een timeslot reserveren voor een   ...",08/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/08/moment-waarop-nieuwe-slots-beschikbaar-komen-in-planningstool-gewijzigd,Other Type,Other,None,None,None,Dutch,CBGnews_items.xlsx,Moment when new slots will become available in the planning tool,"The moment when new slots become available in the planning tool, with which firms reserve a time slot for a ...",None,None,None
"Column 'Over medicijnen': Zomer, tijd van de teek","Het is zomer  En wat is er fijner dan lekker de natuur in te trekken  Struinen door het lange gras, wandelen door de bossen...",02/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/02/column-over-medicijnen-zomer-tijd-van-de-teek,Other Type,Other,None,None,None,Dutch,CBGnews_items.xlsx,"Column 'About Medicines': Summer, Time Teek","It's summer. And what could be nicer than to put into nature? Stroll through the long grass, walk through the forests. ...",None,None,None
Proef met simultaan nationaal wetenschappelijk advies voortgezet,Een proef waarbij ontwikkelaars van nieuwe medicijnen bij meerdere medicijnautoriteiten in Europa tegelijk wetenschappelijk   ...,01/07/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/07/01/proef-met-simultaan-nationaal-wetenschappelijk-advies-voortgezet,Recommendation,Other,European Union,None,None,Dutch,CBGnews_items.xlsx,Test with simultaneous national scientific advice continued,A test in which developers of new drugs at multiple drug authorities in Europe at the same time scientifically ...,None,None,None
Voorwaardelijke handelsvergunning voor behandeling bloedkanker,Het medicijn Zemcelpro mag een voorwaardelijke handelsvergunning krijgen voor de behandeling van volwassenen met bloedkanker  Het  ...,23/06/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/06/23/voorwaardelijke-handelsvergunning-voor-behandeling-bloedkanker,Other Type,Drug Product,None,None,zemcelpro,Dutch,CBGnews_items.xlsx,Conditional trading permit for blood cancer treatment,The ZemcelPro drug may receive a conditional trading permit for the treatment of adults with blood cancer. It ...,None,None,None
Voorwaardelijke goedkeuring voor medicijn tegen bepaalde vorm van leververvetting,Het medicijn Rezdiffra mag een voorwaardelijke handelsvergunning krijgen  Rezdiffra is een medicijn voor volwassenen met een  ...,20/06/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/06/20/voorwaardelijke-goedkeuring-voor-medicijn-tegen-bepaalde-vorm-van-leververvetting,Form,Drug Product,None,None,rezdiffra,Dutch,CBGnews_items.xlsx,Conditional approval for medicine for a certain form of liver fat,The Rez Diffra drug may receive a conditional trading permit. Rezdiffra is a medicine for adults with a ...,None,None,None
Oogziekte NAION is zeldzame bijwerking van semaglutide,De zeldzame oogziekte NAION is een zeer zeldzame bijwerking van semaglutide  Dat is de conclusie van het onderzoek van  ...,06/06/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/06/06/oogziekte-naion-is-zeldzame-bijwerking-van-semaglutide,Resolution,Drug Product,None,None,semaglutide,Dutch,CBGnews_items.xlsx,Eye Disease Naion is a rare side effect of Semaglutide,The rare eye disease Naion is a very rare side effect of semaglutide. That is the conclusion of the research of ...,None,None,None
"Column 'Over medicijnen': Vervangen, verminderen, verfijnen","Als je medicijnen ontwikkelt, dan zijn tot nu toe dierproeven nodig  Om informatie over de veiligheid van medicijnen te  ...",04/06/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/06/04/column-over-medicijnen-vervangen-verminderen-verfijnen,Other Type,Other,None,None,None,Dutch,CBGnews_items.xlsx,"Column 'About Medicines': replacing, reducing, refining","If you develop medicines, animal testing is needed so far. To information about the safety of medicines ...",None,None,None
Collegedag 2025: de veranderende rol van data en patiënt,De toekomst van medicijnbeoordeling stond maandag 19 mei centraal tijdens de jaarlijkse CBG Collegedag  Sprekers uit de  ...,02/06/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/06/02/cbg-collegedag-2025-de-veranderende-rol-van-data-en-patient,Regulatory Decision,Other,None,None,None,Dutch,CBGnews_items.xlsx,College day 2025: The changing role of data and patient,The future of medicine assessment was central on Monday 19 May during the annual CBG College Day. Speakers from the ...,None,None,None
Nieuwe aanbevelingen voor jaarlijkse beoordeling Mysimba en risico op hart- en vaatproblemen,"Om het risico op hart- en vaatproblemen bij langdurig gebruik van het obesitasmedicijn Mysimba te beperken, zijn er nieuwe   ...",27/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/27/nieuwe-aanbevelingen-voor-jaarlijkse-beoordeling-mysimba-en-risico-op-hart--en-vaatproblemen,Regulatory Decision,Drug Product,None,None,mysimba,Dutch,CBGnews_items.xlsx,New recommendations for annual IMYSIMBA assessment and risk of cardiovascular problems,"To limit the risk of cardiovascular problems with long-term use of the obesity medicine MySimba, there are new ...",None,None,None
Advies bij uitvoeringsverordening EU 2024-1159,Sinds november 2024 is een nieuwe versie van de QRD template gepubliceerd  Handelsvergunningshouders moeten ervoor zorgen dat  ...,27/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/27/advies-bij-uitvoeringsverordening-eu-2024-1159,Recommendation,Other,European Union,None,None,Dutch,CBGnews_items.xlsx,Advice for the EU 2024-1159 Implementation Regulation,A new version of the QRD Template has been published since November 2024. Trade permit holders must ensure that ...,None,None,None
Wetenschapsbeleid 2025-2029: van expertise naar impact,Het CBG heeft een nieuw wetenschapsbeleid voor 2025-2029  Vier hoofdthema's zijn leidend voor regulatoire wetenschap binnen het  ...,20/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/20/wetenschapsbeleid-2025-2029-van-expertise-naar-impact,Directive,Other,None,None,None,Dutch,CBGnews_items.xlsx,Science policy 2025-2029: From expertise to impact,The MEB has a new science policy for 2025-2029. Four main themes are leading for regulatory science within the ...,None,None,None
Nieuw bewaaradvies borstkankermedicijn Kisqali,De bewaarcondities en houdbaarheid van het medicijn ribociclib (Kisqali) zijn aangepast  Het advies aan apothekers is om het  ...,20/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/20/nieuw-bewaaradvies-borstkankermedicijn-kisqali,Recommendation,Drug Product,None,None,"ribociclib, kisqali",Dutch,CBGnews_items.xlsx,New storage advice breast cancer drug Kisqali,The storage conditions and shelf life of the drug Ribociclib (Kisqali) have been adjusted. The advice to pharmacists is to ...,None,None,None
BD start met publicatie GMP-inspecties,Bureau Diergeneesmiddelen (BD) publiceert vanaf dit jaar de rapporten van veterinaire GMP-inspecties  De rapporten zijn terug te  ...,15/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/15/bd-start-met-publicatie-gmp-inspecties,Other Type,Other,None,None,None,Dutch,CBGnews_items.xlsx,BD Start with publication GMP inspections,"From this year on, Bureau Veterinary Medicines (BD) will publish the reports of veterinary GMP inspections. The reports are back ...",None,None,None
Extra maatregelen om risico op zelfmoordgedachten te beperken bij gebruik finasteride,Zelfmoordgedachten kunnen voorkomen bij mensen die het medicijn finasteride gebruiken  Deze informatie stond al in de bijsluiter  ...,09/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/09/extra-maatregelen-om-risico-op-zelfmoordgedachten-te-beperken-bij-gebruik-finasteride,Product Info,Drug Product,None,None,finasteride,Dutch,CBGnews_items.xlsx,Extra measures to limit the risk of suicidal thoughts when using Finasteride,Suicide thoughts can occur in people who use the medicine Finasteride. This information was already in the package leaflet ...,None,None,None
"Column 'Over medicijnen': Vaccin, wat zit erin?",Op sociale media zie ik wel eens berichten voorbijkomen over de samenstelling van vaccins  Wat er allemaal in zou zitten  Helaas ...,07/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/07/column-over-medicijnen-vaccin-wat-zit-erin,Other Type,Other,None,None,None,Dutch,CBGnews_items.xlsx,"Column 'About Medicines': Vaccin, what's in it?",On social media I sometimes see messages about the composition of vaccines. What would be in it. Unfortunately ...,None,None,None
Uitlegplaat: Wat zit er écht in een vaccin?,Op sociale media en internet gaan veel verhalen rond over wat er vaccins zit  Helaas gaat het vaak om onjuiste of misleidende  ...,07/05/2025,https://www.cbg-meb.nl/actueel/nieuws?,https://www.cbg-meb.nl/actueel/nieuws/2025/05/07/wat-zit-er-allemaal-in-een-vaccin,Other Type,Vaccine,None,None,None,Dutch,CBGnews_items.xlsx,Explanation plate: What is really in a vaccine?,"On social media and the internet, many stories are about what there is vaccines. Unfortunately it is often about incorrect or misleading ...",None,None,None
Measures to minimise risk of suicidal thoughts with finasteride and dutasteride medicines,"Measures to minimise risk of suicidal thoughts with finasteride and dutasteride medicines
Suicidal thoughts confirmed as side effect of finasteride tablets; no direct link found for dutasteride
Following an EU-wide review of available data on finasteride and dutasteride medicines, EMA’s safety committee, PRAC, has confirmed suicidal ideation (suicidal thoughts) as a side effect of finasteride 1 and 5 mg tablets.",17/06/2025,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/3C843076C13D6E25C2258CAC002AFCF6?OpenDocument,Other Type,Other,"European Union, Norway, Liechtenstein, France, Global, Iceland","Northern Europe, European Union, Western Europe, Central Europe, Global","testosterone, dutasteride, finasteride, enzyme",Multiple,CY.xlsx,None,None,None,None,None
#MedSafetyWeek 2024 Press Release,"#MedSafetyWeek 2024 Press Release CYPRUS TAKES PART IN GLOBAL CAMPAIGN FOR SAFER USE OF MEDICINES Medicines are used by millions of people to treat their illness. However, sometimes medicines can cause side effects. By using medicines correctly, we can drastically reduce the risk of side effects and severe harm. And by reporting side effects when they occur, we can help make medicines safer for everyone. Today marks the launch of the ninth global #MedSafetyWeek campaign, where Pharmaceutical Services is one of 107 partner organisations. Research shows that about half of all side effects are preventable. Patient safety is our top...",04/11/2024,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/A6365D9F5988AB05C2258BCB0029CF6F?OpenDocument,Press Release,Other,"Cyprus, Global","Middle East, Global",None,English,CY.xlsx,None,None,None,None,None
EMA recommends suspension of sickle cell disease medicine Oxbryta,"EMA recommends suspension of sickle cell disease medicine Oxbryta
Measure taken as precaution while review of emerging data is ongoing
EMA’s human medicines committee (CHMP) has recommended suspending the marketing authorisation for the sickle cell disease medicine Oxbryta (voxelotor); this measure is taken as a precaution while a review of emerging data is ongoing.",18/10/2024,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/3C084C4B74AAE75FC2258BBA00384D96?OpenDocument,Other Type,Other,"European Union, Global","European Union, Global","hydroxycarbamide, red blood cells, voxelotor, oxbryta, oxygen",English,CY.xlsx,None,None,None,None,None
EMA recommends non-renewal of authorisation of Duchenne muscular dystrophy medicine Translarna,No summary available,24/07/2024,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/45D6AFC48726EEB2C2258B640025EDD9?OpenDocument,Other Type,Other,Global,Global,translarna,English,CY.xlsx,None,None,None,None,None
EMA recommends revoking conditional marketing authorisation for Ocaliva,No summary available,11/07/2024,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/BAC2DC25A858B7AFC2258B57003B24C1?OpenDocument,Other Type,Other,Global,Global,ocaliva,English,CY.xlsx,None,None,None,None,None
Kick-off meeting of the EU4Health Programme Joint Action IncreaseNET,31 January 2024 was an important day for the entire European medicines regulatory network (EMRN).,09/02/2024,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/7CB70E475477DB95C2258ABE003F130A?OpenDocument,Meeting,Other,"European Union, Ukraine, Slovenia, Global","European Union, Eastern Europe, Southern Europe, Global",None,English,CY.xlsx,None,None,None,None,None
EMA recommends non-renewal of authorisation of Duchenne muscular dystrophy medicine Translarna,"EMA recommends non-renewal of authorisation of Duchenne muscular dystrophy medicine Translarna
EMA’s human medicines committee (CHMP) has recommended not renewing the marketing authorisation for Translarna (ataluren), a medicine for treating patients with Duchenne muscular dystrophy whose disease is caused by a type of genetic defect called a ‘nonsense mutation’ in the dystrophin gene and who are able to walk.",20/09/2023,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/9A17C53D33284ACCC2258A300023554E?OpenDocument,Other Type,Other,"European Union, Global","European Union, Global","translarna, ataluren",Multiple,CY.xlsx,None,None,None,None,None
Spikevax: EMA recommends approval of adapted COVID-19 vaccine targeting Omicron XBB.1.5,"Spikevax: EMA recommends approval of adapted COVID-19 vaccine targeting Omicron XBB.1.5
EMA’s human medicines committee (CHMP) has recommended authorising an adapted Spikevax vaccine targeting the Omicron XBB.1.5 subvariant.",20/09/2023,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/314D80C23E4D03F2C2258A3000232582?OpenDocument,Other Type,Vaccine,"European Union, Global","European Union, Global",None,English,CY.xlsx,None,None,None,None,None
Comirnaty: EMA recommends approval of adapted COVID-19 vaccine targeting Omicron XBB.1.5,"Comirnaty: EMA recommends approval of adapted COVID-19 vaccine targeting Omicron XBB.1.5
EMA’s human medicines committee (CHMP) has recommended authorising an adapted Comirnaty vaccine targeting the Omicron XBB.1.5 subvariant.",31/08/2023,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/A493C8BE03F07EA7C2258A1C003982A9?OpenDocument,Other Type,Vaccine,"European Union, Global","European Union, Global",comirnaty,English,CY.xlsx,None,None,None,None,None
"CHESSMEN, the Joint Action to mitigate medicine’s shortages",No summary available,17/02/2023,https://www.moh.gov.cy/moh/phs/phs.nsf/pressreleases_showgeneral_en/pressreleases_showgeneral_en?Opendocument,https://www.moh.gov.cy/Moh/phs/phs.nsf/All/CC9A61154D97C7F3C22589590027F4A2?OpenDocument,Other Type,Other,Global,Global,None,English,CY.xlsx,None,None,None,None,None
Urgent Field Safety Notice for Citra-Lock S 4% by Sterisets Medical Products,"Product group Injections / Infusions / Transfusions / Dialysis - infusion technology Reference 33610/25 For further information as well as details concerning the device please see the enclosed Advisory Notice of the manufacturer. Urgent Field Safety Notice for Citra-Lock S 4% by Sterisets Medical Products 2025.07.31 PDF, 166KB, File does not meet accessibility standards",31/07/2025,https://www.bfarm.de/SharedDocs/Kundeninfos/EN/07/2025/33610-25_kundeninfo_en.html?nn=986784,https://www.bfarm.de/SharedDocs/Kundeninfos/EN/07/2025/33610-25_kundeninfo_en.pdf?__blob=publicationFile,Form,Drug Product,Global,Global,None,English,DE.xlsx,None,None,None,None,None
